"gene;AN;origin;antibiotic"
"beta_lactamase;KU608166.1;feces;AMP"
"beta_lactamase;KU606014.1;feces;AMP"
"beta_lactamase;KU608079.1;feces;AMP"
"beta_lactamase;KU606564.1;feces;AMP"
"beta_lactamase;KU605995.1;feces;AMP"
"beta_lactamase;KU606824.1;feces;AMP"
"beta_lactamase;KU607062.1;feces;AMP"
"beta_lactamase;KU607474.1;feces;AMP"
"beta_lactamase;KU607733.1;feces;AMP"
"beta_lactamase;KU607869.1;feces;AMP"
"beta_lactamase;KU606485.1;feces;AMP"
"beta_lactamase;KU606321.1;feces;AMP"
"beta_lactamase;KU607059.1;feces;AMP"
"beta_lactamase;KU606004.1;feces;AMP"
"beta_lactamase;KU608174.1;feces;AMP"
"beta_lactamase;KU606420.1;feces;AMP"
"beta_lactamase;KU605821.1;feces;AMX"
"beta_lactamase;KU606030.1;feces;AMX"
"beta_lactamase;KU606570.1;feces;AMX"
"beta_lactamase;KU607088.1;feces;AMX"
"beta_lactamase;KU607878.1;feces;AMX"
"beta_lactamase;KU608085.1;feces;AMX"
"beta_lactamase;KU607092.1;feces;AMX"
"beta_lactamase;KU606042.1;feces;AMC"
"beta_lactamase;KU606585.1;feces;AMC"
"beta_lactamase;KU606870.1;feces;AMC"
"beta_lactamase;KU607514.1;feces;AMC"
"beta_lactamase;KU607761.1;feces;AMC"
"beta_lactamase;KU607886.1;feces;AMC"
"beta_lactamase;KU608094.1;feces;AMC"
"beta_lactamase;KU606494.1;feces;AMC"
"beta_lactamase;KU608201.1;feces;AMC"
"beta_lactamase;KU606044.1;feces;AMC"
"beta_lactamase;KU608095.1;feces;AMC"
"beta_lactamase;KU608215.1;feces;AMC"
"beta_lactamase;KU607105.1;feces;ATM"
"beta_lactamase;KU606500.1;feces;ATM"
"cat;KU607141.1;feces;CHL"
"phospholipid_phosphatase;KU607778.1;feces;CST"
"beta_lactamase;KU606067.1;feces;FOX"
"beta_lactamase;KU607568.1;feces;FOX"
"beta_lactamase;KU606526.1;feces;FOX"
"beta_lactamase;KU607160.1;feces;FOX"
"beta_lactamase;KU607561.1;feces;FOX"
"beta_lactamase;KU607182.1;feces;CAZ"
"beta_lactamase;KU608256.1;feces;CAZ"
"beta_lactamase;KU607183.1;feces;CAZ"
"beta_lactamase;KU606886.1;feces;CAZ"
"beta_lactamase;KU607578.1;feces;CAZ"
"beta_lactamase;KU606101.1;feces;PEN"
"beta_lactamase;KU607588.1;feces;PEN"
"beta_lactamase;KU606643.1;feces;PEN"
"beta_lactamase;KU606896.1;feces;PEN"
"beta_lactamase;KU607672.1;feces;PEN"
"beta_lactamase;KU607800.1;feces;PEN"
"beta_lactamase;KU607811.1;feces;PEN"
"beta_lactamase;KU607954.1;feces;PEN"
"beta_lactamase;KU607814.1;feces;PEN"
"beta_lactamase;KU607803.1;feces;PEN"
"beta_lactamase;KU607810.1;feces;PEN"
"beta_lactamase;KU608123.1;feces;PEN"
"beta_lactamase;KU606537.1;feces;PEN"
"beta_lactamase;KU606137.1;feces;PIP"
"beta_lactamase;KU607207.1;feces;PIP"
"beta_lactamase;KU607300.1;feces;PIP"
"beta_lactamase;KU606395.1;feces;PIP"
"beta_lactamase;KU607257.1;feces;PIP"
"beta_lactamase;KU608132.1;feces;PIP"
"beta_lactamase;KU608128.1;feces;PIP"
"16S_rRNA_methyltransferase;KU543800.1;feces;GEN"
"16S_rRNA_methyltransferase;KU544942.1;feces;GEN"
"16S_rRNA_methyltransferase;KU545869.1;feces;GEN"
"16S_rRNA_methyltransferase;KU546020.1;feces;GEN"
"16S_rRNA_methyltransferase;KU546103.1;feces;GEN"
"16S_rRNA_methyltransferase;KU546924.1;feces;GEN"
"16S_rRNA_methyltransferase;KU547273.1;feces;GEN"
"16S_rRNA_methyltransferase;KU548161.1;latrine;GEN"
"16S_rRNA_methyltransferase;KU546700.1;feces;GEN"
"16S_rRNA_methyltransferase;KU546708.1;feces;GEN"
"16S_rRNA_methyltransferase;KU546692.1;feces;GEN"
"16S_rRNA_methyltransferase;KU544310.1;sewage;GEN"
"16S_rRNA_methyltransferase;KU545868.1;feces;GEN"
"16S_rRNA_methyltransferase;KU546929.1;feces;GEN"
"16S_rRNA_methyltransferase;KU548957.1;feces;GEN"
"16S_rRNA_methyltransferase;KU549029.1;feces;GEN"
"16S_rRNA_methyltransferase;KU546690.1;feces;GEN"
"16S_rRNA_methyltransferase;KU545874.1;feces;GEN"
"16S_rRNA_methyltransferase;KU548774.1;feces;GEN"
"16S_rRNA_methyltransferase;KU546698.1;feces;GEN"
"16S_rRNA_methyltransferase;KU547701.1;feces;GEN"
"16S_rRNA_methyltransferase;KU547692.1;feces;GEN"
"16S_rRNA_methyltransferase;KU544321.1;sewage;GEN"
"16S_rRNA_methyltransferase;KU547275.1;feces;GEN"
"16S_rRNA_methyltransferase;KU546019.1;feces;GEN"
"16S_rRNA_methyltransferase;KU546928.1;feces;GEN"
"16S_rRNA_methyltransferase;KU546707.1;feces;GEN"
"16S_rRNA_methyltransferase;KU544725.1;sewage;GEN"
"16S_rRNA_methyltransferase;KF629129.1;feces;GEN"
"16S_rRNA_methyltransferase;KF627609.1;feces;GEN"
"16S_rRNA_methyltransferase;KF627624.1;feces;GEN"
"16S_rRNA_methyltransferase;KF626896.1;feces;GEN"
"16S_rRNA_methyltransferase;KF627218.1;feces;GEN"
"16S_rRNA_methyltransferase;KF629168.1;feces;GEN"
"16S_rRNA_methyltransferase;KF628156.1;feces;GEN"
"16S_rRNA_methyltransferase;KF628129.1;feces;GEN"
"16S_rRNA_methyltransferase;KJ694720_1;soil;GEN"
"16S_rRNA_methyltransferase;KJ693483_1;soil;GEN"
"16S_rRNA_methyltransferase;KJ692599_1;soil;GEN"
"16S_rRNA_methyltransferase;KJ692040_1;soil;GEN"
"16S_rRNA_methyltransferase;KJ692041_1;soil;GEN"
"16S_rRNA_methyltransferase;KJ693001_1;soil;GEN"
"16S_rRNA_methyltransferase;KJ696293_1;soil;GEN"
"16S_rRNA_methyltransferase;KJ691920_1;soil;GEN"
"16S_rRNA_methyltransferase;KJ696062_1;soil;GEN"
"16S_rRNA_methyltransferase;KJ692921_1;soil;GEN"
"AAC;KJ693494_1;soil;GEN"
"AAC;KJ692920_1;soil;GEN"
"AAC;KJ692598_1;soil;GEN"
"AAC;KJ694371_1;soil;GEN"
"AAC;KJ695408_1;soil;GEN"
"AAC;KJ695675_1;soil;GEN"
"AAC;KJ695098_1;soil;GEN"
"AAC;KJ696292_1;soil;GEN"
"AAC;KJ694287_1;soil;GEN"
"AAC;KJ692919_1;soil;GEN"
"AAC;KJ695676_1;soil;GEN"
"AAC;KJ695346_1;soil;GEN"
"AAC;KJ695854_1;soil;GEN"
"AAC;KJ695671_1;soil;GEN"
"AAC;KJ694028_1;soil;GEN"
"AAC;KJ694925_1;soil;GEN"
"AAC;KJ695106_1;soil;GEN"
"AAC;KJ693450_1;soil;GEN"
"AAC;KJ695105_1;soil;GEN"
"AAC;KU547157.1;latrine;GEN"
"AAC;GQ343185.1;feces;SIS"
"AAC;GQ343134.1;feces;GEN"
"AAC;GQ343136.1;feces;GEN"
"AAC;KU544318.1;sewage;GEN"
"AAC;GQ343178.1;feces;SIS"
"AAC;KU547731.1;latrine;GEN"
"AAC;GQ343186.1;feces;SIS"
"AAC;KU544727.1;sewage;GEN"
"AAC;KU548684.1;soil;GEN"
"AAC;KU544329.1;sewage;GEN"
"AAC;KU544346.1;sewage;GEN"
"AAC;KU544723.1;sewage;GEN"
"AAC;KU548683.1;soil;GEN"
"AAC;KU544324.1;sewage;GEN"
"AAC;KU544343.1;sewage;GEN"
"AAC;KU544892.1;feces;GEN"
"AAC;KU546299.1;feces;GEN"
"ANT;KU544724.1;sewage;GEN"
"APH;KJ694954_1;soil;GEN"
"APH;KJ695413_1;soil;GEN"
"APH;KJ694435_1;soil;GEN"
"APH;KJ695257_1;soil;GEN"
"beta_lactamase;GQ343015.1;feces;AMX"
"beta_lactamase;GQ343155.1;feces;PEN"
"beta_lactamase;GQ343008.1;feces;AMX"
"beta_lactamase;GQ343018.1;feces;AMX"
"beta_lactamase;GQ343075.1;feces;CDR"
"beta_lactamase;GQ343071.1;feces;CDR"
"beta_lactamase;GQ343073.1;feces;CDR"
"beta_lactamase;GQ343055.1;feces;CAR"
"beta_lactamase;KU544018.1;sewage;ATM"
"beta_lactamase;KU544208.1;sewage;FOX"
"beta_lactamase;KU544179.1;sewage;FOX"
"beta_lactamase;KU547077.1;latrine;PEN"
"beta_lactamase;KU544497.1;sewage;AMX"
"beta_lactamase;KU544754.1;sewage;PIP"
"beta_lactamase;KU543962.1;sewage;AMX"
"beta_lactamase;KU544486.1;sewage;AMX"
"beta_lactamase;KU543963.1;sewage;AMX"
"beta_lactamase;KU544700.1;sewage;CAZ"
"beta_lactamase;KU547082.1;latrine;PEN"
"beta_lactamase;KU548485.1;soil;PIP"
"beta_lactamase;KU544742.1;sewage;PIP"
"beta_lactamase;KU544403.1;sewage;PIP"
"beta_lactamase;KU545222.1;feces;AMX"
"beta_lactamase;KU546739.1;feces;AMX"
"beta_lactamase;KU548675.1;soil;AMX"
"beta_lactamase;KU548668.1;soil;AMX"
"beta_lactamase;KU543958.1;sewage;AMX"
"beta_lactamase;KU548399.1;soil;AMX"
"beta_lactamase;KU547038.1;latrine;AMX"
"beta_lactamase;KU543923.1;sewage;AMX"
"beta_lactamase;KU545730.1;feces;AMX"
"beta_lactamase;KU543952.1;sewage;AMX"
"beta_lactamase;KU543994.1;sewage;AMX"
"beta_lactamase;KU544569.1;sewage;FEP"
"beta_lactamase;KU544572.1;sewage;FEP"
"beta_lactamase;KU544567.1;sewage;FEP"
"beta_lactamase;KU544705.1;sewage;CAZ"
"beta_lactamase;KU544735.1;sewage;PEN"
"beta_lactamase;KU547076.1;latrine;PEN"
"beta_lactamase;KU544353.1;sewage;PEN"
"beta_lactamase;KU547733.1;latrine;PEN"
"beta_lactamase;KU547735.1;latrine;PEN"
"beta_lactamase;KU544423.1;sewage;PIP"
"beta_lactamase;KU544388.1;sewage;PIP"
"beta_lactamase;KU544405.1;sewage;PIP"
"beta_lactamase;KU544770.1;sewage;PIP"
"beta_lactamase;KU548068.1;latrine;PIP"
"beta_lactamase;KU544434.1;sewage;PIP"
"beta_lactamase;KU544744.1;sewage;PIP"
"beta_lactamase;KU547748.1;latrine;PIP"
"beta_lactamase;KU544365.1;sewage;TZP"
"beta_lactamase;KU543956.1;sewage;AMX"
"beta_lactamase;KU543988.1;sewage;AMX"
"beta_lactamase;KU543927.1;sewage;AMX"
"beta_lactamase;KU547858.1;latrine;AMX"
"beta_lactamase;KU548387.1;soil;AMX"
"beta_lactamase;KU543919.1;sewage;AMX"
"beta_lactamase;KU544007.1;sewage;AMX"
"beta_lactamase;KU544483.1;sewage;AMX"
"beta_lactamase;KU548547.1;soil;AMX"
"beta_lactamase;KU548115.1;latrine;AMX"
"beta_lactamase;KU543984.1;sewage;AMX"
"beta_lactamase;KU548551.1;soil;ATM"
"beta_lactamase;KU544768.1;sewage;PIP"
"beta_lactamase;KU548658.1;soil;PIP"
"beta_lactamase;KU544427.1;sewage;PIP"
"beta_lactamase;KU548071.1;latrine;PIP"
"beta_lactamase;KU544746.1;sewage;PIP"
"beta_lactamase;KU548037.1;latrine;PEN"
"beta_lactamase;KU545217.1;feces;AMX"
"beta_lactamase;KU548901.1;feces;FEP"
"beta_lactamase;KU544812.1;feces;AMX"
"beta_lactamase;KU544841.1;feces;AMX"
"beta_lactamase;KU544961.1;feces;AMX"
"beta_lactamase;KU544967.1;feces;AMX"
"beta_lactamase;KU545266.1;feces;AMX"
"beta_lactamase;KU545493.1;feces;AMX"
"beta_lactamase;KU546206.1;feces;AMX"
"beta_lactamase;KU546517.1;feces;AMX"
"beta_lactamase;KU546538.1;feces;AMX"
"beta_lactamase;KU546633.1;feces;AMX"
"beta_lactamase;KU546748.1;feces;AMX"
"beta_lactamase;KU547192.1;feces;AMX"
"beta_lactamase;KU547195.1;feces;AMX"
"beta_lactamase;KU547455.1;feces;AMX"
"beta_lactamase;KU547525.1;feces;AMX"
"beta_lactamase;KU547860.1;latrine;AMX"
"beta_lactamase;KU547957.1;latrine;AMX"
"beta_lactamase;KU549021.1;feces;AMX"
"beta_lactamase;KU545264.1;feces;AMX"
"beta_lactamase;KU545645.1;feces;AMX"
"beta_lactamase;KU548126.1;latrine;AMX"
"beta_lactamase;KU548550.1;soil;AMX"
"beta_lactamase;KU547585.1;feces;AMX"
"beta_lactamase;KU547600.1;feces;AMX"
"beta_lactamase;KU548133.1;latrine;AMX"
"beta_lactamase;KU545121.1;feces;AMX"
"beta_lactamase;KU545190.1;feces;AMX"
"beta_lactamase;KU545197.1;feces;AMX"
"beta_lactamase;KU545317.1;feces;AMX"
"beta_lactamase;KU545330.1;feces;AMX"
"beta_lactamase;KU543983.1;sewage;AMX"
"beta_lactamase;KU548878.1;feces;AMX"
"beta_lactamase;KU546685.1;feces;AMX"
"beta_lactamase;KU547393.1;feces;AMX"
"beta_lactamase;KU547136.1;latrine;AMX"
"beta_lactamase;KU547042.1;latrine;AMX"
"beta_lactamase;KU547859.1;latrine;AMX"
"beta_lactamase;KU548124.1;latrine;AMX"
"beta_lactamase;KU548132.1;latrine;AMX"
"beta_lactamase;KU548546.1;soil;AMX"
"beta_lactamase;KU543918.1;sewage;AMX"
"beta_lactamase;KU546390.1;feces;AMX"
"beta_lactamase;KU547034.1;latrine;AMX"
"beta_lactamase;KU548288.1;latrine;AMX"
"beta_lactamase;KU548300.1;latrine;AMX"
"beta_lactamase;KU543933.1;sewage;AMX"
"beta_lactamase;KU543973.1;sewage;AMX"
"beta_lactamase;KU545434.1;feces;AMX"
"beta_lactamase;KU547039.1;latrine;AMX"
"beta_lactamase;KU544482.1;sewage;AMX"
"beta_lactamase;KU545271.1;feces;ATM"
"beta_lactamase;KU545278.1;feces;CTX"
"beta_lactamase;KU544155.1;sewage;CTX"
"beta_lactamase;KU548678.1;soil;CTX"
"beta_lactamase;KU548903.1;feces;CTX"
"beta_lactamase;KU548998.1;feces;CTX"
"beta_lactamase;KU543700.1;feces;CTX"
"beta_lactamase;KU544162.1;sewage;CTX"
"beta_lactamase;KU544194.1;sewage;FOX"
"beta_lactamase;KU544223.1;sewage;FOX"
"beta_lactamase;KU544243.1;sewage;FOX"
"beta_lactamase;KU544207.1;sewage;FOX"
"beta_lactamase;KU544701.1;sewage;CAZ"
"beta_lactamase;KU544887.1;feces;CAZ"
"beta_lactamase;KU549000.1;feces;CAZ"
"beta_lactamase;KU548159.1;latrine;CAZ"
"beta_lactamase;KU543705.1;feces;PEN"
"beta_lactamase;KU544910.1;feces;PEN"
"beta_lactamase;KU545283.1;feces;PEN"
"beta_lactamase;KU546585.1;feces;PEN"
"beta_lactamase;KU546676.1;feces;PEN"
"beta_lactamase;KU546808.1;feces;PEN"
"beta_lactamase;KU546811.1;feces;PEN"
"beta_lactamase;KU547469.1;feces;PEN"
"beta_lactamase;KU547568.1;feces;PEN"
"beta_lactamase;KU547881.1;latrine;PEN"
"beta_lactamase;KU548040.1;latrine;PEN"
"beta_lactamase;KU548922.1;feces;PEN"
"beta_lactamase;KU548035.1;latrine;PEN"
"beta_lactamase;KU548562.1;soil;PEN"
"beta_lactamase;KU547623.1;feces;PEN"
"beta_lactamase;KU545149.1;feces;PEN"
"beta_lactamase;KU545249.1;feces;PEN"
"beta_lactamase;KU545376.1;feces;PEN"
"beta_lactamase;KU546021.1;feces;PEN"
"beta_lactamase;KU545465.1;feces;PEN"
"beta_lactamase;KU545603.1;feces;PEN"
"beta_lactamase;KU547163.1;latrine;PEN"
"beta_lactamase;KU549001.1;feces;PEN"
"beta_lactamase;KU547074.1;latrine;PEN"
"beta_lactamase;KU547894.1;latrine;PEN"
"beta_lactamase;KU547910.1;latrine;PEN"
"beta_lactamase;KU547080.1;latrine;PEN"
"beta_lactamase;KU547158.1;latrine;PEN"
"beta_lactamase;KU547776.1;latrine;PEN"
"beta_lactamase;KU548165.1;latrine;PEN"
"beta_lactamase;KU548168.1;latrine;PEN"
"beta_lactamase;KU548182.1;latrine;PEN"
"beta_lactamase;KU548341.1;latrine;PEN"
"beta_lactamase;KU547084.1;latrine;PEN"
"beta_lactamase;KU544734.1;sewage;PEN"
"beta_lactamase;KU548170.1;latrine;PEN"
"beta_lactamase;KU545152.1;feces;PIP"
"beta_lactamase;KU548080.1;latrine;PIP"
"beta_lactamase;KU547931.1;latrine;PIP"
"beta_lactamase;KU548092.1;latrine;PIP"
"beta_lactamase;KU544399.1;sewage;PIP"
"beta_lactamase;KU544747.1;sewage;PIP"
"beta_lactamase;KU548577.1;soil;PIP"
"beta_lactamase;KU548492.1;soil;PIP"
"beta_lactamase;KU547813.1;latrine;PIP"
"beta_lactamase;KU544379.1;sewage;PIP"
"beta_lactamase;KU544432.1;sewage;PIP"
"beta_lactamase;KU547808.1;latrine;PIP"
"beta_lactamase;KU545287.1;feces;TZP"
"beta_lactamase;KU548185.1;latrine;TZP"
"beta_lactamase;KF629077.1;feces;PEN"
"beta_lactamase;KF629885.1;feces;PIP"
"beta_lactamase;KF630159.1;feces;PEN"
"beta_lactamase;KF626926.1;feces;ATM"
"beta_lactamase;KF627240.1;feces;ATM"
"beta_lactamase;KF626746.1;feces;PEN"
"beta_lactamase;KF627385.1;feces;PEN"
"beta_lactamase;KF628224.1;feces;PEN"
"beta_lactamase;KF628448.1;feces;PEN"
"beta_lactamase;KF628694.1;feces;PEN"
"beta_lactamase;KF629594.1;feces;PEN"
"beta_lactamase;KF630193.1;feces;PEN"
"beta_lactamase;KF626778.1;feces;PIP"
"beta_lactamase;KF628772.1;feces;PIP"
"beta_lactamase;KF630242.1;feces;PIP"
"beta_lactamase;KU546551.1;feces;AMX"
"beta_lactamase;KU548669.1;soil;AMX"
"beta_lactamase;KU544763.1;sewage;PIP"
"beta_lactamase;KU545480.1;feces;AMX"
"beta_lactamase;KU546246.1;feces;AMX"
"beta_lactamase;KU548986.1;feces;AMX"
"beta_lactamase;KU546334.1;feces;PEN"
"beta_lactamase;KF627314.1;feces;PEN"
"beta_lactamase;KU546394.1;feces;AMX"
"beta_lactamase;KU543694.1;feces;AMX"
"beta_lactamase;KU545125.1;feces;AMX"
"beta_lactamase;KU545796.1;feces;AMX"
"beta_lactamase;KU543702.1;feces;PEN"
"beta_lactamase;KU543892.1;feces;PEN"
"beta_lactamase;KU548800.1;feces;PEN"
"beta_lactamase;KU544013.1;sewage;ATM"
"beta_lactamase;KU546296.1;feces;CAZ"
"beta_lactamase;KF630336.1;feces;PEN"
"beta_lactamase;KU543934.1;sewage;AMX"
"beta_lactamase;KU546688.1;feces;CAZ"
"beta_lactamase;KF628554.1;feces;CTX"
"beta_lactamase;KF628548.1;feces;CAZ"
"beta_lactamase;KJ695953_1;soil;ATM"
"beta_lactamase;KJ691895_1;soil;ATM"
"beta_lactamase;KJ696258_1;soil;PEN"
"beta_lactamase;KJ695331_1;soil;PIP"
"beta_lactamase;KJ695963_1;soil;PEN"
"beta_lactamase;KJ695101_1;soil;CAZ"
"beta_lactamase;KJ694108_1;soil;PEN"
"beta_lactamase;KJ695366_1;soil;ATM"
"beta_lactamase;KJ694733_1;soil;PEN"
"beta_lactamase;KJ692177_1;soil;CAZ"
"beta_lactamase;KJ696046_1;soil;PEN"
"beta_lactamase;KJ696128_1;soil;PIP"
"beta_lactamase;KJ694542_1;soil;CAZ"
"beta_lactamase;KJ691941_1;soil;PEN"
"beta_lactamase;KJ696251_1;soil;ATM"
"beta_lactamase;KJ694109_1;soil;CAZ"
"beta_lactamase;KJ696080_1;soil;ATM"
"beta_lactamase;KJ694078_1;soil;PEN"
"beta_lactamase;KJ694146_1;soil;PIP"
"beta_lactamase;KJ694913_1;soil;ATM"
"beta_lactamase;KJ691910_1;soil;FEP"
"beta_lactamase;KJ693184_1;soil;CAZ"
"beta_lactamase;KJ694744_1;soil;CAZ"
"beta_lactamase;KJ695930_1;soil;ATM"
"beta_lactamase;KJ694633_1;soil;PEN"
"beta_lactamase;KJ692045_1;soil;CAZ"
"beta_lactamase;KJ693632_1;soil;CAZ"
"beta_lactamase;KJ694104_1;soil;PEN"
"beta_lactamase;KJ693935_1;soil;ATM"
"beta_lactamase;KJ692353_1;soil;ATM"
"beta_lactamase;KJ693186_1;soil;CAZ"
"beta_lactamase;KJ695685_1;soil;CAZ"
"beta_lactamase;KJ693906_1;soil;CAZ"
"beta_lactamase;KJ694268_1;soil;PEN"
"beta_lactamase;KJ695175_1;soil;PEN"
"beta_lactamase;KJ693603_1;soil;ATM"
"beta_lactamase;KJ694710_1;soil;ATM"
"beta_lactamase;KJ695230_1;soil;ATM"
"beta_lactamase;KJ694747_1;soil;CAZ"
"beta_lactamase;KJ692940_1;soil;CAZ"
"beta_lactamase;KJ692832_1;soil;PEN"
"beta_lactamase;KJ694909_1;soil;CAZ"
"beta_lactamase;KJ694076_1;soil;PEN"
"beta_lactamase;KJ692178_1;soil;CAZ"
"beta_lactamase;KJ695033_1;soil;CAZ"
"beta_lactamase;KJ693938_1;soil;ATM"
"beta_lactamase;KJ695016_1;soil;CAZ"
"beta_lactamase;KJ692831_1;soil;PEN"
"beta_lactamase;KJ693680_1;soil;CAZ"
"beta_lactamase;KJ695611_1;soil;PEN"
"beta_lactamase;KJ695037_1;soil;CAZ"
"beta_lactamase;KJ692833_1;soil;PEN"
"beta_lactamase;KJ693905_1;soil;CAZ"
"beta_lactamase;KJ692860_1;soil;ATM"
"beta_lactamase;KJ695893_1;soil;CAZ"
"beta_lactamase;KJ693868_1;soil;ATM"
"beta_lactamase;KJ692567_1;soil;PIP"
"beta_lactamase;KJ691921_1;soil;ATM"
"beta_lactamase;KJ693200_1;soil;ATM"
"beta_lactamase;KJ695449_1;soil;ATM"
"beta_lactamase;KJ693633_1;soil;CAZ"
"beta_lactamase;KJ693872_1;soil;ATM"
"beta_lactamase;KJ695174_1;soil;PEN"
"beta_lactamase;KJ693425_1;soil;PEN"
"beta_lactamase;KJ693147_1;soil;CAZ"
"beta_lactamase;KJ693936_1;soil;ATM"
"beta_lactamase;KJ695223_1;soil;PEN"
"beta_lactamase;KJ692937_1;soil;PEN"
"beta_lactamase;KJ693839_1;soil;PEN"
"beta_lactamase;KJ692345_1;soil;CAZ"
"beta_lactamase;KJ693151_1;soil;CAZ"
"beta_lactamase;KJ694845_1;soil;CTX"
"beta_lactamase;KJ695017_1;soil;CAZ"
"beta_lactamase;KJ696409_1;soil;PEN"
"beta_lactamase;KJ694881_1;soil;CTX"
"beta_lactamase;KJ692764_1;soil;CAZ"
"beta_lactamase;KJ692961_1;soil;CAZ"
"beta_lactamase;KJ692078_1;soil;CAZ"
"beta_lactamase;KJ694676_1;soil;CAZ"
"beta_lactamase;KJ695734_1;soil;ATM"
"beta_lactamase;KJ693782_1;soil;PIP"
"beta_lactamase;KJ693154_1;soil;PEN"
"beta_lactamase;KJ693149_1;soil;CAZ"
"beta_lactamase;KJ693733_1;soil;CAZ"
