"gene;AN;origin;antibiotic"
"beta_lactamase;KJ692077_1;soil;CAZ"
"beta_lactamase;KJ696314_1;soil;PEN"
"beta_lactamase;KJ695460_1;soil;PEN"
"beta_lactamase;KJ693544_1;soil;PEN"
"beta_lactamase;KJ695461_1;soil;PEN"
"beta_lactamase;KJ692083_1;soil;CAZ"
"beta_lactamase;KJ692465_1;soil;CAZ"
"beta_lactamase;KJ692823_1;soil;FOX"
"beta_lactamase;KJ692455_1;soil;CTX"
"beta_lactamase;KJ694724_1;soil;CAZ"
"beta_lactamase;KJ693634_1;soil;CAZ"
"beta_lactamase;KJ694674_1;soil;FOX"
"beta_lactamase;KJ695099_1;soil;FOX"
"beta_lactamase;KJ693690_1;soil;FOX"
"beta_lactamase;KJ692110_1;soil;FOX"
"beta_lactamase;KJ695683_1;soil;CAZ"
"beta_lactamase;KJ692723_1;soil;PIP"
"beta_lactamase;KJ692826_1;soil;FOX"
"beta_lactamase;KJ692957_1;soil;CAZ"
"beta_lactamase;KJ694504_1;soil;PIP"
"beta_lactamase;KJ695258_1;soil;FOX"
"beta_lactamase;KJ695218_1;soil;PEN"
"beta_lactamase;KJ695246_1;soil;PIP"
"beta_lactamase;KJ695237_1;soil;TZP"
"beta_lactamase;KJ693689_1;soil;FOX"
"beta_lactamase;KJ695973_1;soil;FOX"
"beta_lactamase;KJ694217_1;soil;TZP"
"beta_lactamase;KJ692174_1;soil;CAZ"
"beta_lactamase;KJ694529_1;soil;CAZ"
"beta_lactamase;KJ694723_1;soil;CAZ"
"beta_lactamase;KJ695816_1;soil;FOX"
"beta_lactamase;KJ692765_1;soil;CAZ"
"beta_lactamase;KJ692772_1;soil;FOX"
"beta_lactamase;KJ694709_1;soil;CAZ"
"beta_lactamase;KJ696301_1;soil;FOX"
"beta_lactamase;KJ691922_1;soil;ATM"
"beta_lactamase;KJ692117_1;soil;FOX"
"beta_lactamase;KJ692085_1;soil;FOX"
"beta_lactamase;KJ692931_1;soil;FOX"
"beta_lactamase;KJ694430_1;soil;FOX"
"beta_lactamase;KJ692118_1;soil;FOX"
"beta_lactamase;KJ692928_1;soil;FOX"
"beta_lactamase;KJ693138_1;soil;FOX"
"beta_lactamase;KJ693575_1;soil;FOX"
"beta_lactamase;KJ693740_1;soil;FOX"
"beta_lactamase;KJ694431_1;soil;FOX"
"beta_lactamase;KJ694532_1;soil;FOX"
"beta_lactamase;KJ694875_1;soil;FOX"
"beta_lactamase;KJ692825_1;soil;FOX"
"beta_lactamase;KJ693576_1;soil;FOX"
"beta_lactamase;KJ693840_1;soil;PEN"
"beta_lactamase;KJ692469_1;soil;CAZ"
"beta_lactamase;KJ692047_1;soil;CAZ"
"beta_lactamase;KJ691994_1;soil;PEN"
"beta_lactamase;KJ692834_1;soil;PEN"
"beta_lactamase;KJ692087_1;soil;FOX"
"beta_lactamase;KJ693678_1;soil;CAZ"
"beta_lactamase;KJ693438_1;soil;PEN"
"beta_lactamase;KJ693441_1;soil;CAZ"
"beta_lactamase;KJ692088_1;soil;FOX"
"beta_lactamase;KJ692111_1;soil;FOX"
"beta_lactamase;KJ693439_1;soil;PEN"
"beta_lactamase;KJ693914_1;soil;PEN"
"beta_lactamase;KJ693837_1;soil;PEN"
"beta_lactamase;KJ692176_1;soil;CAZ"
"beta_lactamase;KJ693679_1;soil;CAZ"
"beta_lactamase;KJ694423_1;soil;CAZ"
"beta_lactamase;KJ692766_1;soil;CAZ"
"beta_lactamase;KJ693736_1;soil;CAZ"
"beta_lactamase;KJ694495_1;soil;CAZ"
"beta_lactamase;KJ692346_1;soil;CAZ"
"beta_lactamase;KJ692079_1;soil;CAZ"
"beta_lactamase;KJ693190_1;soil;FOX"
"beta_lactamase;KJ694761_1;soil;CAZ"
"beta_lactamase;KJ693734_1;soil;CAZ"
"beta_lactamase;KJ692471_1;soil;FOX"
"beta_lactamase;KJ695034_1;soil;CAZ"
"beta_lactamase;KJ693735_1;soil;CAZ"
"beta_lactamase;KJ692768_1;soil;FOX"
"beta_lactamase;KJ694457_1;soil;FOX"
"beta_lactamase;KJ693334_1;soil;PEN"
"beta_lactamase;KJ694426_1;soil;CAZ"
"beta_lactamase;KJ695403_1;soil;CTX"
"beta_lactamase;KJ693140_1;soil;FOX"
"beta_lactamase;KJ692929_1;soil;FOX"
"beta_lactamase;KJ693577_1;soil;FOX"
"beta_lactamase;KJ695687_1;soil;FOX"
"beta_lactamase;KJ692933_1;soil;FOX"
"beta_lactamase;KJ692941_1;soil;CAZ"
"beta_lactamase;KJ692944_1;soil;CAZ"
"beta_lactamase;KJ691908_1;soil;CTX"
"beta_lactamase;KJ693145_1;soil;CAZ"
"beta_lactamase;KJ691993_1;soil;PIP"
"beta_lactamase;KJ691907_1;soil;CTX"
"beta_lactamase;KJ694470_1;soil;CTX"
"beta_lactamase;KJ692145_1;soil;PEN"
"beta_lactamase;KJ694107_1;soil;CAZ"
"beta_lactamase;KJ694675_1;soil;FOX"
"beta_lactamase;KJ694525_1;soil;CAZ"
"beta_lactamase;KJ693681_1;soil;CTX"
"beta_lactamase;KJ693150_1;soil;CAZ"
"beta_lactamase;KJ693194_1;soil;PEN"
"beta_lactamase;KJ693456_1;soil;TZP"
"beta_lactamase;KJ694180_1;soil;PIP"
"beta_lactamase;KJ692663_1;soil;PEN"
"beta_lactamase;KJ692539_1;soil;PIP"
"beta_lactamase;KJ692949_1;soil;CTX"
"beta_lactamase;KJ692935_1;soil;PEN"
"beta_lactamase;KJ695458_1;soil;PEN"
"beta_lactamase;KJ693349_1;soil;PEN"
"beta_lactamase;KJ696348_1;soil;PIP"
"beta_lactamase;KJ695330_1;soil;PEN"
"beta_lactamase;KJ692662_1;soil;PEN"
"beta_lactamase;KJ691944_1;soil;PEN"
"beta_lactamase;KJ695365_1;soil;PEN"
"beta_lactamase;KJ694530_1;soil;PEN"
"beta_lactamase;KJ693428_1;soil;PIP"
"beta_lactamase;KJ692342_1;soil;ATM"
"beta_lactamase;KJ693457_1;soil;TZP"
"beta_lactamase;KJ692254_1;soil;PEN"
"beta_lactamase;KJ692341_1;soil;ATM"
"beta_lactamase;KJ691965_1;soil;ATM"
"beta_lactamase;KJ693951_1;soil;ATM"
"beta_lactamase;KJ693480_1;soil;ATM"
"beta_lactamase;KJ692721_1;soil;PIP"
"beta_lactamase;KJ692350_1;soil;ATM"
"beta_lactamase;KJ693934_1;soil;ATM"
"beta_lactamase;KJ691966_1;soil;ATM"
"beta_lactamase;KJ692057_1;soil;TZP"
"beta_lactamase;KJ692343_1;soil;ATM"
"beta_lactamase;KJ692214_1;soil;PIP"
"beta_lactamase;KJ692861_1;soil;ATM"
"beta_lactamase;KJ693209_1;soil;ATM"
"beta_lactamase;KJ693670_1;soil;ATM"
"beta_lactamase;KJ693487_1;soil;ATM"
"beta_lactamase;KJ693944_1;soil;ATM"
"beta_lactamase;KJ694116_1;soil;PEN"
"beta_lactamase;KJ694319_1;soil;PIP"
"beta_lactamase;KJ695206_1;soil;ATM"
"beta_lactamase;KJ692398_1;soil;PEN"
"beta_lactamase;KJ693621_1;soil;ATM"
"beta_lactamase;KJ693208_1;soil;ATM"
"beta_lactamase;KJ692902_1;soil;ATM"
"beta_lactamase;KJ691924_1;soil;ATM"
"beta_lactamase;KJ691939_1;soil;ATM"
"beta_lactamase;KJ692349_1;soil;ATM"
"beta_lactamase;KJ692348_1;soil;ATM"
"beta_lactamase;KJ693231_1;soil;ATM"
"beta_lactamase;KJ694914_1;soil;ATM"
"beta_lactamase;KJ694951_1;soil;ATM"
"beta_lactamase;KJ691997_1;soil;PEN"
"beta_lactamase;KJ695283_1;soil;ATM"
"beta_lactamase;KJ692851_1;soil;PEN"
"beta_lactamase;KJ694629_1;soil;PEN"
"beta_lactamase;KJ691985_1;soil;PEN"
"beta_lactamase;KJ694472_1;soil;CTX"
"beta_lactamase;KJ695702_1;soil;PIP"
"beta_lactamase;KJ693372_1;soil;PEN"
"beta_lactamase;KJ692802_1;soil;ATM"
"beta_lactamase;KJ691992_1;soil;PIP"
"beta_lactamase;KJ692938_1;soil;PEN"
"beta_lactamase;KJ693820_1;soil;PEN"
"beta_lactamase;KJ693124_1;soil;ATM"
"beta_lactamase;KJ695672_1;soil;PEN"
"beta_lactamase;KJ695701_1;soil;PIP"
"beta_lactamase;KJ695496_1;soil;TZP"
"beta_lactamase;KJ695450_1;soil;ATM"
"beta_lactamase;KJ693790_1;soil;PEN"
"beta_lactamase;KJ693799_1;soil;PIP"
"beta_lactamase;KJ693824_1;soil;PEN"
"beta_lactamase;KU544708.1;sewage;CAZ"
"beta_lactamase;KU544721.1;sewage;CAZ"
"beta_lactamase;GQ342999.1;feces;AMX"
"beta_lactamase;GQ343154.1;feces;PEN"
"beta_lactamase;GQ342996.1;feces;AMX"
"beta_lactamase;GQ343005.1;feces;AMX"
"beta_lactamase;KU546746.1;feces;AMX"
"beta_lactamase;KU547211.1;feces;AMX"
"beta_lactamase;KU547524.1;feces;AMX"
"beta_lactamase;KU546399.1;feces;AMX"
"beta_lactamase;KU546830.1;feces;AMX"
"beta_lactamase;KU545424.1;feces;AMX"
"beta_lactamase;KU544963.1;feces;AMX"
"beta_lactamase;KU546518.1;feces;AMX"
"beta_lactamase;KU546887.1;feces;AMX"
"beta_lactamase;KU544983.1;feces;AMX"
"beta_lactamase;KU545183.1;feces;AMX"
"beta_lactamase;KU545739.1;feces;AMX"
"beta_lactamase;KU545946.1;feces;AMX"
"beta_lactamase;KU545973.1;feces;AMX"
"beta_lactamase;KU546252.1;feces;AMX"
"beta_lactamase;KU547595.1;feces;AMX"
"beta_lactamase;KU547756.1;latrine;AMX"
"beta_lactamase;KU548201.1;latrine;AMX"
"beta_lactamase;KU548398.1;soil;AMX"
"beta_lactamase;KU548670.1;soil;AMX"
"beta_lactamase;KU545265.1;feces;AMX"
"beta_lactamase;KU546225.1;feces;AMX"
"beta_lactamase;KU543977.1;sewage;AMX"
"beta_lactamase;KU544847.1;feces;AMX"
"beta_lactamase;KU545437.1;feces;AMX"
"beta_lactamase;KU547400.1;feces;AMX"
"beta_lactamase;KU547593.1;feces;AMX"
"beta_lactamase;KU544814.1;feces;AMX"
"beta_lactamase;KU544994.1;feces;AMX"
"beta_lactamase;KU545802.1;feces;AMX"
"beta_lactamase;KU545918.1;feces;AMX"
"beta_lactamase;KU546231.1;feces;AMX"
"beta_lactamase;KU546634.1;feces;AMX"
"beta_lactamase;KU546997.1;feces;AMX"
"beta_lactamase;KU547663.1;feces;AMX"
"beta_lactamase;KU543938.1;sewage;AMX"
"beta_lactamase;KU545727.1;feces;AMX"
"beta_lactamase;KU544832.1;feces;AMX"
"beta_lactamase;KU544972.1;feces;AMX"
"beta_lactamase;KU545723.1;feces;AMX"
"beta_lactamase;KU546220.1;feces;AMX"
"beta_lactamase;KU546632.1;feces;AMX"
"beta_lactamase;KU547217.1;feces;AMX"
"beta_lactamase;KU547594.1;feces;AMX"
"beta_lactamase;KU544998.1;feces;AMX"
"beta_lactamase;KU545736.1;feces;AMX"
"beta_lactamase;KU546885.1;feces;AMX"
"beta_lactamase;KU547582.1;feces;AMX"
"beta_lactamase;KU545081.1;feces;ATM"
"beta_lactamase;KU545978.1;feces;ATM"
"beta_lactamase;KU546642.1;feces;ATM"
"beta_lactamase;KU544023.1;sewage;ATM"
"beta_lactamase;KU547684.1;feces;ATM"
"beta_lactamase;KU545332.1;feces;ATM"
"beta_lactamase;KU546089.1;feces;ATM"
"beta_lactamase;KU547235.1;feces;ATM"
"beta_lactamase;KU545000.1;feces;ATM"
"beta_lactamase;KU545758.1;feces;FEP"
"beta_lactamase;KU544139.1;sewage;FEP"
"beta_lactamase;KU544144.1;sewage;FEP"
"beta_lactamase;KU544165.1;sewage;CTX"
"beta_lactamase;KU544154.1;sewage;CTX"
"beta_lactamase;KU546919.1;feces;CAZ"
"beta_lactamase;KU546863.1;feces;CAZ"
"beta_lactamase;KU545578.1;feces;CAZ"
"beta_lactamase;KU544709.1;sewage;CAZ"
"beta_lactamase;KU544716.1;sewage;CAZ"
"beta_lactamase;KU543835.1;feces;CAZ"
"beta_lactamase;KU546292.1;feces;CAZ"
"beta_lactamase;KU544881.1;feces;CAZ"
"beta_lactamase;KU546805.1;feces;CAZ"
"beta_lactamase;KU545931.1;feces;CAZ"
"beta_lactamase;KU547691.1;feces;CAZ"
"beta_lactamase;KU545864.1;feces;CAZ"
"beta_lactamase;KU546294.1;feces;CAZ"
"beta_lactamase;KU545769.1;feces;CAZ"
"beta_lactamase;KU546922.1;feces;CAZ"
"beta_lactamase;KU546669.1;feces;CAZ"
"beta_lactamase;KU547618.1;feces;CAZ"
"beta_lactamase;KU546460.1;feces;PEN"
"beta_lactamase;KU544356.1;sewage;PEN"
"beta_lactamase;KU545036.1;feces;PEN"
"beta_lactamase;KU546677.1;feces;PEN"
"beta_lactamase;KU548063.1;latrine;PIP"
"beta_lactamase;KU544425.1;sewage;PIP"
"beta_lactamase;KU544367.1;sewage;TZP"
"beta_lactamase;KU544375.1;sewage;TZP"
"beta_lactamase;KU548696.1;soil;TZP"
"beta_lactamase;GQ343038.1;feces;CAR"
"beta_lactamase;GQ343000.1;feces;AMX"
"beta_lactamase;GQ343037.1;feces;CAR"
"beta_lactamase;GQ343039.1;feces;CAR"
"beta_lactamase;GQ343044.1;feces;CAR"
"beta_lactamase;GQ343003.1;feces;AMX"
"beta_lactamase;GQ343002.1;feces;AMX"
"beta_lactamase;GQ343153.1;feces;PEN"
"beta_lactamase;GQ343170.1;feces;PIP"
"beta_lactamase;GQ343045.1;feces;CAR"
"beta_lactamase;GQ343035.1;feces;AMX"
"beta_lactamase;KU546758.1;feces;ATM"
"beta_lactamase;KU548543.1;soil;AMX"
"beta_lactamase;KU547720.1;latrine;AMX"
"beta_lactamase;KU547721.1;latrine;AMX"
"beta_lactamase;KU544269.1;sewage;FOX"
"beta_lactamase;KU548589.1;soil;PEN"
"beta_lactamase;KU548343.1;latrine;PEN"
"beta_lactamase;KU548622.1;soil;TZP"
"beta_lactamase;KU547743.1;latrine;TZP"
"beta_lactamase;GQ343167.1;feces;PEN"
"cat;KU543866.1;feces;CHL"
"cat;KU543873.1;feces;CHL"
"cat;KU545984.1;feces;CHL"
"cat;KU546092.1;feces;CHL"
"cat;KU546268.1;feces;CHL"
"cat;KU546782.1;feces;CHL"
"cat;KU546900.1;feces;CHL"
"cat;KU547240.1;feces;CHL"
"cat;KU547345.1;feces;CHL"
"cat;KU545753.1;feces;CHL"
"cat;KU546907.1;feces;CHL"
"cat;KU546851.1;feces;CHL"
"cat;KU546093.1;feces;CHL"
"cat;KU545405.1;feces;CHL"
"cat;KU545818.1;feces;CHL"
"cat;KU545921.1;feces;CHL"
"cat;KU545983.1;feces;CHL"
"cat;KU545993.1;feces;CHL"
"cat;KU547459.1;feces;CHL"
"cat;KU543833.1;feces;CHL"
"cat;KU544049.1;sewage;CHL"
"cat;KU545453.1;feces;CHL"
"cat;KU545664.1;feces;CHL"
"cat;KU545838.1;feces;CHL"
"cat;KU546417.1;feces;CHL"
"cat;KU546786.1;feces;CHL"
"cat;KU546959.1;feces;CHL"
"cat;KU547609.1;feces;CHL"
"cat;KU545749.1;feces;CHL"
"cat;KU548431.1;soil;CHL"
"cat;KU544029.1;sewage;CHL"
"cat;KU545443.1;feces;CHL"
"cat;KU546902.1;feces;CHL"
"cat;KU547990.1;latrine;CHL"
"cat;KU548439.1;soil;CHL"
"cat;KU544866.1;feces;CHL"
"cat;KU548586.1;soil;CHL"
"cat;KU546271.1;feces;CHL"
"cat;KU547759.1;latrine;CHL"
"cat;KU545655.1;feces;CHL"
"cat;KU544033.1;sewage;CHL"
"cat;KU547059.1;latrine;CHL"
"cat;KU545752.1;feces;CHL"
"cat;KU547239.1;feces;CHL"
"cat;KU545821.1;feces;CHL"
"cat;KU547415.1;feces;CHL"
"cat;KU546776.1;feces;CHL"
"cat;KU548587.1;soil;CHL"
"cat;KU544052.1;sewage;CHL"
"cat;KU545087.1;feces;CHL"
"cat;KU546899.1;feces;CHL"
"cat;KU545985.1;feces;CHL"
"cat;KF629022.1;feces;CHL"
"cat;KF626988.1;feces;CHL"
"cat;KF628977.1;feces;CHL"
"cat;KF629324.1;feces;CHL"
"cat;KF629769.1;feces;CHL"
"cat;KF628154.1;feces;CHL"
"cat;KF628840.1;feces;CHL"
"cat;KF629850.1;feces;CHL"
"cat;KF628201.1;feces;CHL"
"cat;KF630238.1;feces;CHL"
"cat;KF629212.1;feces;CHL"
"cat;KF628904.1;feces;CHL"
"cat;KF627991.1;feces;CHL"
"cat;KF627245.1;feces;CHL"
"cat;KF629854.1;feces;CHL"
"cat;KF629607.1;feces;CHL"
"cat;KF627969.1;feces;CHL"
"cat;KF629790.1;feces;CHL"
"cat;KF629359.1;feces;CHL"
"cat;KF629772.1;feces;CHL"
"cat;KU545449.1;feces;CHL"
"cat;KU545576.1;feces;CHL"
"cat;KU545992.1;feces;CHL"
"cat;KU546267.1;feces;CHL"
"cat;KU546775.1;feces;CHL"
"cat;KU546857.1;feces;CHL"
"cat;KU547410.1;feces;CHL"
"cat;KU547548.1;feces;CHL"
"cat;KU544859.1;feces;CHL"
"cat;KU545091.1;feces;CHL"
"cat;KU545920.1;feces;CHL"
"cat;KU545982.1;feces;CHL"
"cat;KU545661.1;feces;CHL"
"cat;KF629419.1;feces;CHL"
"cat;KF628222.1;feces;CHL"
"cat;KF628407.1;feces;CHL"
"cat;KF627113.1;feces;CHL"
"cat;GQ343078.1;feces;CHL"
"dfr;KJ692866_1;soil;TMP"
"dfr;KJ693174_1;soil;TMP"
"dfr;KJ693538_1;soil;TMP"
"dfr;KJ695473_1;soil;TMP"
"dfr;KJ695465_1;soil;TMP"
"dfr;KJ691919_1;soil;TMP"
"dfr;KJ693585_1;soil;TMP"
"dfr;KJ694754_1;soil;TMP"
"dfr;KJ695158_1;soil;TMP"
"dfr;KJ695838_1;soil;TMP"
"dfr;KJ696280_1;soil;TMP"
"dfr;KJ696249_1;soil;TMP"
"dfr;KJ692225_1;soil;TMP"
"dfr;KJ694695_1;soil;TMP"
"dfr;KJ696096_1;soil;TMP"
"dfr;KJ692097_1;soil;TMP"
"dfr;KJ692037_1;soil;TMP"
"dfr;KJ691936_1;soil;TMP"
"dfr;KJ692542_1;soil;SXT"
"dfr;KJ692869_1;soil;TMP"
"dfr;KJ692962_1;soil;TMP"
"dfr;KJ693897_1;soil;SXT"
"dfr;KJ694989_1;soil;TMP"
"dfr;KJ695018_1;soil;TMP"
"dfr;KJ696031_1;soil;TMP"
"dfr;KJ692899_1;soil;TMP"
"dfr;KJ693651_1;soil;TMP"
"dfr;KJ694220_1;soil;TMP"
"dfr;KJ695592_1;soil;TMP"
"dfr;KJ695889_1;soil;TMP"
"dfr;KJ692015_1;soil;TMP"
"dfr;KJ692263_1;soil;TMP"
"dfr;KJ693636_1;soil;TMP"
"dfr;KJ694411_1;soil;TMP"
"dfr;KJ694466_1;soil;TMP"
"dfr;KJ694928_1;soil;TMP"
"dfr;KJ694940_1;soil;TMP"
"dfr;KJ695140_1;soil;SXT"
"dfr;KJ695314_1;soil;TMP"
"dfr;KJ695574_1;soil;TMP"
"dfr;KJ695718_1;soil;TMP"
"dfr;KJ695822_1;soil;TMP"
"dfr;KJ695868_1;soil;TMP"
"dfr;KJ695924_1;soil;TMP"
"dfr;KJ695981_1;soil;TMP"
"dfr;KJ695997_1;soil;TMP"
"dfr;KJ696356_1;soil;TMP"
"dfr;KJ696215_1;soil;TMP"
"dfr;KJ696276_1;soil;TMP"
"dfr;KJ691934_1;soil;TMP"
"dfr;KJ692695_1;soil;TMP"
"dfr;KJ693605_1;soil;TMP"
"dfr;KJ694474_1;soil;TMP"
"dfr;KJ695079_1;soil;SXT"
"dfr;KJ695193_1;soil;TMP"
"dfr;KJ695575_1;soil;TMP"
"dfr;KJ695477_1;soil;TMP"
"dfr;KJ695872_1;soil;TMP"
"dfr;KJ694961_1;soil;TMP"
"dfr;KJ695452_1;soil;TMP"
"dfr;KJ695605_1;soil;TMP"
"dfr;KJ695736_1;soil;TMP"
"dfr;KJ696217_1;soil;SXT"
"dfr;KJ693412_1;soil;TMP"
"dfr;KJ694045_1;soil;TMP"
"dfr;KJ694225_1;soil;TMP"
"dfr;KJ694048_1;soil;TMP"
"dfr;KJ694892_1;soil;TMP"
"dfr;KJ694935_1;soil;TMP"
"dfr;KJ695013_1;soil;SXT"
"dfr;KJ694908_1;soil;SXT"
"dfr;KJ695255_1;soil;TMP"
"dfr;KJ695356_1;soil;TMP"
"dfr;KJ695308_1;soil;TMP"
"dfr;KJ695640_1;soil;TMP"
"dfr;KJ695444_1;soil;TMP"
"dfr;KJ696160_1;soil;TMP"
"dfr;KJ696511_1;soil;SXT"
"dfr;KJ694387_1;soil;TMP"
"dfr;KJ695261_1;soil;TMP"
"dfr;KJ695561_1;soil;TMP"
"dfr;KJ695804_1;soil;SXT"
"dfr;KJ695990_1;soil;TMP"
"dfr;KJ696214_1;soil;TMP"
"dfr;KJ696497_1;soil;TMP"
"dfr;KJ694010_1;soil;TMP"
"dfr;KJ694092_1;soil;TMP"
"dfr;KJ694858_1;soil;TMP"
"dfr;KJ692014_1;soil;TMP"
"dfr;KJ691937_1;soil;TMP"
"dfr;KJ692379_1;soil;TMP"
"dfr;KJ692500_1;soil;TMP"
"dfr;KJ692720_1;soil;TMP"
"dfr;KJ692675_1;soil;TMP"
"dfr;KJ694959_1;soil;TMP"
"dfr;KJ694992_1;soil;TMP"
"dfr;KJ694880_1;soil;TMP"
"dfr;KJ695659_1;soil;TMP"
"dfr;KJ695812_1;soil;TMP"
"dfr;KJ695735_1;soil;TMP"
"dfr;KJ696064_1;soil;TMP"
"dfr;KJ696324_1;soil;TMP"
"dfr;KJ692747_1;soil;TMP"
"dfr;KJ694762_1;soil;TMP"
"dfr;KJ694687_1;soil;TMP"
"dfr;KJ694957_1;soil;TMP"
"dfr;KJ695241_1;soil;TMP"
"dfr;KJ695666_1;soil;TMP"
"dfr;KJ695925_1;soil;TMP"
"dfr;KJ696379_1;soil;TMP"
"dfr;KJ693531_1;soil;SXT"
"dfr;KJ695748_1;soil;TMP"
"dfr;KJ695944_1;soil;TMP"
"dfr;KJ695964_1;soil;TMP"
"dfr;KJ696021_1;soil;SXT"
"dfr;KJ696470_1;soil;TMP"
"dfr;KJ696472_1;soil;TMP"
"dfr;KJ696393_1;soil;TMP"
"dfr;KJ692758_1;soil;TMP"
"dfr;KJ692694_1;soil;TMP"
"dfr;KJ692954_1;soil;TMP"
"dfr;KJ693535_1;soil;TMP"
"dfr;KJ694063_1;soil;SXT"
"dfr;KJ694786_1;soil;TMP"
"dfr;KJ694722_1;soil;TMP"
"dfr;KJ694878_1;soil;TMP"
"dfr;KJ695252_1;soil;TMP"
"dfr;KJ695297_1;soil;TMP"
"dfr;KJ695545_1;soil;TMP"
"dfr;KJ695558_1;soil;TMP"
"dfr;KJ695913_1;soil;TMP"
"dfr;KJ696039_1;soil;TMP"
"dfr;KJ696247_1;soil;TMP"
"dfr;KJ692798_1;soil;TMP"
"dfr;KJ693436_1;soil;TMP"
"dfr;KJ694456_1;soil;TMP"
"dfr;KJ694181_1;soil;SXT"
"dfr;KJ694787_1;soil;TMP"
"dfr;KJ695224_1;soil;TMP"
"dfr;KJ695251_1;soil;TMP"
"dfr;KJ696118_1;soil;TMP"
"dfr;KJ695987_1;soil;TMP"
"dfr;KJ693064_1;soil;TMP"
"dfr;KJ694447_1;soil;TMP"
"dfr;KJ696403_1;soil;TMP"
"dfr;KJ692075_1;soil;TMP"
"dfr;KJ692608_1;soil;SXT"
"dfr;KJ692969_1;soil;TMP"
"dfr;KJ693709_1;soil;TMP"
"dfr;KJ694300_1;soil;TMP"
"dfr;KJ694098_1;soil;SXT"
"dfr;KJ694570_1;soil;TMP"
"dfr;KJ694763_1;soil;TMP"
"dfr;KJ694686_1;soil;TMP"
"dfr;KJ694621_1;soil;TMP"
"dfr;KJ694824_1;soil;SXT"
"dfr;KJ694942_1;soil;TMP"
"dfr;KJ695067_1;soil;TMP"
"dfr;KJ694938_1;soil;TMP"
"dfr;KJ695781_1;soil;TMP"
"dfr;KJ695727_1;soil;TMP"
"dfr;KJ696221_1;soil;TMP"
"dfr;KJ696517_1;soil;TMP"
"dfr;KJ692963_1;soil;TMP"
"dfr;KJ692983_1;soil;TMP"
"dfr;KJ693901_1;soil;SXT"
"dfr;KJ694298_1;soil;TMP"
"dfr;KJ695726_1;soil;TMP"
"dfr;KJ696282_1;soil;TMP"
"dfr;KJ694196_1;soil;TMP"
"dfr;KJ694349_1;soil;TMP"
"dfr;KJ694473_1;soil;TMP"
"dfr;KJ695197_1;soil;TMP"
"dfr;KJ695580_1;soil;TMP"
"dfr;KJ695721_1;soil;TMP"
"dfr;KJ693177_1;soil;TMP"
"dfr;KJ693513_1;soil;TMP"
"dfr;KJ694652_1;soil;TMP"
"dfr;KJ694839_1;soil;TMP"
"dfr;KJ695341_1;soil;TMP"
"dfr;KJ695582_1;soil;TMP"
